datetime_open,datetime_close,target_wallet,token,position_type,sol_deployed,sol_received,pnl_sol,pnl_pct,close_reason,mc_at_open,jup_score,token_age,token_age_days,token_age_hours,price_drop_pct,position_id,full_address,pnl_source,meteora_deposited,meteora_withdrawn,meteora_fees,meteora_pnl,target_wallet_address,target_tx_signature,source_wallet_hold_min,source_wallet_pnl_pct,source_wallet_scenario
2026-03-10T21:15:00,2026-03-10T21:35:00,20260309_3WrPRi9,Punch,BidAsk,3.2000,3.2000,0.0000,0.00,normal,6630885.97,90,1mo ago,30,720,,GMezapyH,GMezGwYbkb1PE8ZwHg8ze9iC15DyM1PhXr1DzCLcapyH,meteora,3.2000,3.2000,0.0000,0.0000,3WrPRi9LKKfgMuEeNYuWxZRMNhJscu2M96utmWUPmmvb,Wj4XiJYRteSs58hxupRySBSfpAHXMWv48FXTSr2Vw3AiYufe2M4SmnKxyTFPwPu8NGvMdgV3f4psEgG1ApUexUK,,,
2026-03-10T21:01:00,2026-03-10T21:36:00,20260125_2eWqo,Distorted,BidAsk,4.5200,4.5190,0.0024,0.05,normal,2381986.00,89,1d ago,1,24,,4oBSRxbM,4oBSa3CeAHn5vKi7DdEr8XkuRu5avQ1i9kDtLDYkRxbM,meteora,4.5200,4.5190,0.0034,0.0024,2eWqouq9gmiEBgLdkGqzPT61VxfS3yW5kvzUCCbazmCV,5LkPQNTmQpN8AW9cxxj9UihZ94t8xmjpdNcMK3Ao6NgRBwgvbwnWTKE9xNrC3XnysmgjYXffMhLNKzQMu32Y4QFQ,,,
2026-03-10T20:58:00,2026-03-10T21:02:00,20260125_2eWqo,Distorted,BidAsk,4.5200,4.5200,0.0000,0.00,normal,2183515.73,88,1d ago,1,24,,9wZ5BYnP,9wZ5JCLSq4Ce3wJnJYRYTC26ecHWX5eSKpfaaZkwBYnP,meteora,4.5200,4.5200,0.0000,0.0000,2eWqouq9gmiEBgLdkGqzPT61VxfS3yW5kvzUCCbazmCV,FRZ9JBNAopKJW1ZVZN8tRebcgjJnitK4Ju6VToXvpXfW9vUHqfXvXWMHuvrUhPkHNe6n9tM45meqh6bW2e3VS1e,,,
2026-03-10T20:55:00,2026-03-10T20:59:00,20260125_2eWqo,Distorted,BidAsk,4.5200,4.5200,0.0000,0.00,normal,1968011.64,88,1d ago,1,24,,EaNQBzS8,EaNQ7JUDT9smVeungizMACk97adQEHZfjB9QzpGkBzS8,meteora,4.5200,4.5200,0.0000,0.0000,2eWqouq9gmiEBgLdkGqzPT61VxfS3yW5kvzUCCbazmCV,61nE2zm77CGdKZvCoKhWStsjRxMxrsM9exmhPtq4yZTYn3FpNRTSiQe8htF36qCMKdemEjz9ys1QfmvWEoqsEeH7,,,
2026-03-10T20:51:00,2026-03-10T21:13:00,20260304_DicCKY,LOBSTER,Spot,3.5000,3.5000,0.0000,0.00,normal,203214.17,75,4h ago,0,4,,FLZ9Uwrq,FLZ9bScUp5d3cbKdZs3ZuML3nmvrFGsm3gKDZL7eUwrq,meteora,3.5000,3.5000,0.0000,0.0000,DicCKYqkhbfJYYMaEH82H5kpJ7nUu7vp4VLefZnTRfsU,2vZGt1auVNa3yHqHRnyCmincSFyPmaaZRdzSKoFucMcaUWPG5TBDbnkQMzhD2gcDHK9QbKCXLYd7q2qq1PpYZXP6,,,
2026-03-10T20:01:00,2026-03-10T20:07:00,20260125_2eWqo,Distorted,BidAsk,4.5200,4.5200,0.0022,0.05,normal,1534988.97,87,1d ago,1,24,,j6DmXC8N,j6DmcDQLrA2Tvsg2c9VDHX5d96DUwnFCVVnBsXrXC8N,meteora,4.5200,4.5200,0.0022,0.0022,2eWqouq9gmiEBgLdkGqzPT61VxfS3yW5kvzUCCbazmCV,4LbU9ujRChs6BzokiWXqYJ72SpBxsQcBxqhAx212GvQ8RTWLE9mdcpCJKEoKtmE1WykLtDuJvpYjfKpovCn8pxKQ,,,
2026-03-10T19:31:00,2026-03-10T19:41:00,20260125_2eWqo,SIRI,BidAsk,4.5200,4.5200,0.0001,0.00,normal,505034.68,75,1d ago,1,24,,EzTQtT4R,EzTQa8MXJo22Q3rtoVBNDHho6DzH69xX6pHhEuUwtT4R,meteora,4.5200,4.5200,0.0002,0.0001,2eWqouq9gmiEBgLdkGqzPT61VxfS3yW5kvzUCCbazmCV,3k42RTivJcFY7ksK8Qd52nwodGccdubPj46rZHfrNb3FRBsqV8qUXpu22Z1mD2icdgYE2FtgRQAohUGwj83Vut5N,,,
2026-03-10T19:29:00,2026-03-10T20:01:00,20260125_2eWqo,Distorted,BidAsk,4.5200,4.5200,0.0112,0.25,normal,1379480.55,87,1d ago,1,24,,93azjthy,93azX49D2vJtjzWFKJC8mgvFNdA7Fz61zcTEemJyjthy,meteora,4.5200,4.5200,0.0112,0.0112,2eWqouq9gmiEBgLdkGqzPT61VxfS3yW5kvzUCCbazmCV,2x5mzD24uMfUUETH5SVTUS1WNsSoSpG88dsAkDE3MtB8ehLD6KV6fJvvQ47VKLTM9uTDUHwCCHLe9RHsBVzx3Eye,,,
2026-03-10T19:28:00,2026-03-10T19:32:00,20260125_2eWqo,SIRI,BidAsk,4.5200,4.5200,-0.0000,-0.00,normal,488856.38,75,1d ago,1,24,,Dyb2sWk5,Dyb2BXLXuhmrsgRwrr3UyrL8QCNLCt3HbDKCeVR3sWk5,meteora,4.5200,4.5200,0.0000,-0.0000,2eWqouq9gmiEBgLdkGqzPT61VxfS3yW5kvzUCCbazmCV,3d3vrH7o5qeYAxNBjmexmrfNjgJztvek68GZDKmbeCUXATKcVU3MRLjUYsxgBZi5Qknx8ZjyhSQuLpRXUnsK59vX,,,
2026-03-10T19:24:00,2026-03-10T19:54:00,20260306_EApBDL5,$michi,BidAsk,0.9900,0.9900,0.0001,0.01,normal,729232.98,75,1y ago,,,,4QisqSmi,4QisCwELEyycfLXgFemdvykg7tmx1T6G2Ax5wSpUqSmi,meteora,0.9900,0.9900,0.0001,0.0001,EApBDL5hwqSFr6sURw9skBXXUc9aJCgXe8qWukiMUVMG,21j8JUbZAG5oNW3Vt7cKmSquukTU1DicPDqnjoQtxJtB4tm8SxYvdP49fjwwx9tUgXapHi1x3DqxDTyAQszGJgwV,,,
